title,price,link
5 Marla House For Sale In Others,25 Lakh,https://www.zameen.com/Property/alipur_others_5_marla_house_for_sale_in_others-28611292-13700-1.html
home,80 Lakh,https://www.zameen.com/Property/alipur_rajput_colony_home-21664498-13701-1.html
House For Sale,1 Crore,https://www.zameen.com/Property/punjab_alipur_house_for_sale-5990322-10242-1.html
House For Sale In Alipur Near Rashid Minhas Hss Alipur,1.5 Crore,https://www.zameen.com/Property/alipur_others_house_for_sale_in_alipur_near_rashid_minhas_hss_alipur-39441469-13700-1.html
urgent sale 4 marla house,42 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_urgent_sale_4_marla_house-39219740-13799-1.html
House For Sale In Alipur - Uch Sharif Road Alipur - Uch Sharif Road,46 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_house_for_sale_in_alipur_uch_sharif_road_alipur_uch_sharif_road-34575082-13799-1.html
House For Sale Situated In Alipur - Uch Sharif Road,38 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_house_for_sale_situated_in_alipur_uch_sharif_road-31431579-13799-1.html
10 Marla Constructed House In Uch Shareef City,40 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_10_marla_constructed_house_in_uch_shareef_city-31203842-13799-1.html
Ideally Located House For Sale In Alipur - Uch Sharif Road Available,65 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_ideally_located_house_for_sale_in_alipur_uch_sharif_road_available-28724396-13799-1.html
5 Marla Double Storey House For Sale,42.5 Lakh,https://www.zameen.com/Property/alipur_sabtain_town_5_marla_double_storey_house_for_sale-35632106-19348-1.html
House For Sale In Gujjar Chowk Alipur,85 Lakh,https://www.zameen.com/Property/alipur_others_house_for_sale_in_gujjar_chowk_alipur-32234746-13700-1.html
1350  Square Feet House For Sale In Alipur - Uch Sharif Road,65 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_1350__square_feet_house_for_sale_in_alipur_uch_sharif_road-28725098-13799-1.html
Selling House Ground Plus One Furnished Argent Sale Contact,38 Lakh,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_selling_house_ground_plus_one_furnished_argent_sale_contact-35027600-13799-1.html
House For Sale In Alipur Nearby To Kalma Chowk And Schools,1.1 Crore,https://www.zameen.com/Property/alipur_others_house_for_sale_in_alipur_nearby_to_kalma_chowk_and_schools-27518932-13700-1.html
6 Marla House For Sale,1.5 Crore,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_6_marla_house_for_sale-25492476-13799-1.html
House For Sale With 4 Streets Around In Main Market  Shah Faisal Chowk Alipur,1.5 Crore,https://www.zameen.com/Property/alipur_others_house_for_sale_with_4_streets_around_in_main_market__shah_faisal_chowk_alipur-22244272-13700-1.html
5 Marla Corner House For Sale,1 Crore,https://www.zameen.com/Property/alipur_rajput_colony_5_marla_corner_house_for_sale-19918407-13701-1.html
5 Marla House For Sale,50 Lakh,https://www.zameen.com/Property/alipur_rajput_colony_5_marla_house_for_sale-19901710-13701-1.html
10 marla,9.5 Lakh,https://www.zameen.com/Property/alipur_rajput_colony_10_marla-18674815-13701-1.html
5 Marla Well Furnished House Is Available For Sale In Rajput Colony Alipur,90 Lakh,https://www.zameen.com/Property/alipur_rajput_colony_5_marla_well_furnished_house_is_available_for_sale_in_rajput_colony_alipur-22898570-13701-1.html
House Is Available For Sale,90 Lakh,https://www.zameen.com/Property/alipur_rajput_colony_house_is_available_for_sale-22111788-13701-1.html
10 Marla House Is Available For Sale,95 Lakh,https://www.zameen.com/Property/alipur_rajput_colony_10_marla_house_is_available_for_sale-18674967-13701-1.html
Alipur Uch Sharif Road House For Sale Sized 4500 Square Feet,3.5 Crore,https://www.zameen.com/Property/alipur_alipur_uch_sharif_road_alipur_uch_sharif_road_house_for_sale_sized_4500_square_feet-25892472-13799-1.html
test listing junaid 2,1.21 Crore,https://www.zameen.com/Property/punjab_alipur_test_listing_junaid_2-4941579-10242-1.html
test listing junaid 2,1.21 Crore,https://www.zameen.com/Property/punjab_alipur_test_listing_junaid_2-4905211-10242-1.html
